품목,국가,수입금액
돼지고기,미국,690
돼지고기,스페인,610
돼지고기,캐나다,430
돼지고기,칠레,280
돼지고기,네덜란드,160
소고기,미국,2280
소고기,호주,1760
소고기,뉴질랜드,340
소고기,캐나다,140
소고기,멕시코,55
바나나,필리핀,385
바나나,에콰도르,165
바나나,페루,96
바나나,과테말라,28
바나나,베트남,9
망고,태국,52
망고,페루,33
망고,필리핀,24
망고,베트남,18
망고,멕시코,7
포도,칠레,248
포도,미국,194
포도,페루,118
포도,호주,37
포도,남아프리카공화국,22
사과,미국,72
사과,뉴질랜드,46
사과,칠레,24
사과,프랑스,8
사과,이탈리아,5
당근,중국,31
당근,호주,9
당근,미국,5
당근,뉴질랜드,4
당근,베트남,2
감자,중국,84
감자,미국,41
감자,호주,18
감자,캐나다,11
감자,뉴질랜드,4
브로콜리,중국,36
브로콜리,미국,15
브로콜리,멕시코,8
브로콜리,스페인,4
브로콜리,호주,3
양파,중국,58
양파,미국,14
양파,뉴질랜드,8
양파,인도,6
양파,태국,3
연어,노르웨이,610
연어,칠레,470
연어,캐나다,82
연어,영국,24
연어,미국,11
고등어,노르웨이,175
고등어,중국,96
고등어,일본,41
고등어,러시아,27
고등어,대만,6
맥주,일본,228
맥주,중국,134
맥주,독일,121
맥주,네덜란드,78
맥주,미국,64
위스키,영국,780
위스키,미국,185
위스키,아일랜드,122
위스키,캐나다,29
위스키,일본,24
와인,프랑스,438
와인,이탈리아,326
와인,미국,184
와인,칠레,176
와인,스페인,149
